id,btn,keyword,message,link,content
1,0,你好,你好,,
2,1,防範詐騙教學,以上是防範詐騙教學介紹,/teach,介紹六大主題：假投資詐騙、假網購詐騙、解除分期詐騙、假冒機構詐騙、交友愛情詐騙、人頭帳戶詐騙。
3,1,回報可疑網站,以上是回報可疑網站的相關資訊,/reportUrl,可填寫表單通報可疑網站，本站將由專人協助判斷是否為詐騙網站。亦可查詢已通報的詐騙網站。
4,1,詐騙FAQ,以上是詐騙FAQ的相關資訊,/faq,介紹常見詐騙問題與解答：詐騙事件警察有何相關應處作為？接獲疑似詐騙電話應如何處置？如何防止詐騙？...等
5,1,相關資訊連結,以上是反詐騙相關資訊的連結,/gov,介紹政府及民間相關反詐騙連結：165 全民防詐騙網、台灣事實查核中心、證交所、金管會、台哥大反詐戰警、趨勢科技防詐達人。
6,1,討論專區,以上是討論專區的相關資訊,/discuss,可分享遭遇詐騙的經驗，或探討如何避免詐騙、如何應對詐騙。互相提供建議和協助，提醒大家警惕詐騙，提高自我防範能力，避免遭受詐騙的損失。
7,1,DEMO體驗-購物詐騙,以上是DEMO體驗的相關資訊,/demoShopping,模擬詐騙購物網站形式，提醒大眾小心不明網址、切勿隨意輸入信用卡等個資。
8,1,DEMO體驗-詐騙知識測驗,以上是DEMO體驗的相關資訊,/demoGame,十題測驗遊戲考驗你的防範詐騙的知識能力
9,1,DEMO體驗-電話詐騙,以上是DEMO體驗的相關資訊,/demoPhone,模擬語音電話金融詐騙手法，提醒大眾小心被假冒的金融機構誘騙金錢
10,1,DEMO體驗-愛情交友詐騙,以上是DEMO體驗的相關資訊,/demoLine,模擬 LINE 交友軟體詐騙對話手法，提醒大眾小心被愛情騙子誘騙金錢
11,0,other,你好，可以點選以下分類或輸入關鍵字獲取更多資訊哦！, ,
